tc_PearsonCorr,N_PearsonCorr,tc_SpearmanCorr,N_SpearmanCorr,tc_DistCorr,N_DistCorr,tc_MI-cut,N_MI-cut,tc_MI-qcut,N_MI-qcut,tc_MI-Darbellay,N_MI-Darbellay,tc_MI-KDE,N_MI-KDE,tc_MI-GIEF,N_MI-GIEF,tc_MIC,N_MIC,tc_RMIC,N_RMIC
6.341611652339862e-06,500,0.0010072706634764927,500,9.242900196712256e-06,500,0.0029894674490319726,500,0.0029983279088929777,500,0.0030111418273934204,500,0.011979022165389952,500,0.0029932647248610508,500,0.002000519875557185,500,0.004966776911175663,500
7.630937220995315e-06,500,0.001997285386706201,500,0.0010267297911610265,500,0.002977920935306652,500,0.0029935672410624937,500,0.0029810943346410047,500,0.010976500269838345,500,0.0029945468607040266,500,0.0019976117843573844,500,0.0059864960244457996,500
0.0010036388774370517,500,0.0010032636856326718,500,3.824590644044956e-06,500,0.0030172658624191538,500,0.003988178957037322,500,0.0029925423808343566,500,0.01097254572926651,500,0.0029964008105599783,500,0.0019996095252867714,500,0.006990472456125091,500
4.58388651445478e-06,500,0.0009978164494095112,500,0.0009746815748681016,500,0.0029824577332465663,500,0.003006567667564803,500,0.002995632151554321,500,0.01293696990645021,500,0.003000954507866326,500,0.0030078188429500424,500,0.005986222084475136,500
3.539190323314223e-07,500,0.0010077461562857295,500,2.5027941799225173e-06,500,0.003990040169872947,500,0.003989863155635385,500,0.0029965544280752482,500,0.011970609580564544,500,0.002993767592074549,500,0.001992859997201748,500,0.00637316293702136,500
8.525581588966567e-06,500,0.0010019644647049047,500,0.0007486136067516253,500,0.0029991344378562587,500,0.002999266368949162,500,0.0029945967999837537,500,0.011975598728908705,500,0.004017766712791864,500,0.0019981624233876816,500,0.005599198006200225,500
0.0010076462428441461,500,9.661734878661733e-08,500,4.1479356273229875e-06,500,0.003996747044097299,500,0.003969988721956771,500,0.003995658239371669,500,0.010984644757975387,500,0.0029961524688941104,500,0.002000562979831736,500,0.00499335102789384,500
6.1893106137850035e-06,500,0.0009987432442535743,500,0.0010116095462364796,500,0.004989665571331308,500,0.0030167484281415336,500,0.0029922969777446407,500,0.011053063491052914,500,0.0020007876765141923,500,0.0019994692794617296,500,0.0060099930606926175,500
1.998861851527407e-06,500,0.0010001596097547272,500,7.580321393730094e-06,500,0.0029888620315521525,500,0.0050297298201052425,500,0.002554427963065064,500,0.010984350018373785,500,0.0029945886613667355,500,0.001997614221365466,500,0.005993877657608642,500
6.808778427429627e-06,500,0.0009986106030695598,500,0.0010100704869241953,500,0.002995729445402803,500,0.0030398830961517738,500,0.0029982140298999314,500,0.009948946450505673,500,0.0029975201005818016,500,0.0029994030164955557,500,0.005965297219328009,500
1.8296724321238857e-07,500,0.0010044627654900932,500,9.427671229234854e-06,500,0.004003438415585345,500,0.0034774811559319654,500,0.0030017810334749062,500,0.010972043187699869,500,0.0029967194094393684,500,0.002000069749122539,500,0.006987440398171282,500
3.0514705587945026e-06,500,0.0010003404313112983,500,0.0009933489436014782,500,0.004015481146920314,500,0.0031480619696415803,500,0.0036327949306001156,500,0.011005882412628875,500,0.0039893362802177505,500,0.002004670929766317,500,0.005986216521998486,500
4.263358391951089e-07,500,0.0010049749575186168,500,9.236327711976199e-06,500,0.0038218688388020903,500,0.002999340515738797,500,0.003390096746156536,500,0.009948390839347003,500,0.0019989935786631713,500,0.0020418548416579656,500,0.006982972288236975,500
6.44333024879828e-06,500,0.001002348215053637,500,0.001015275969864193,500,0.002996344271720325,500,0.0040304322216029006,500,0.002999401275261945,500,0.010979662144138265,500,0.002967967745199478,500,0.002000633348526429,500,0.006986624518073717,500
