noise,sin_high_freq,noise,cos_high_freq,noise,vary_freq_sin,noise,vary_freq_cos,noise,non_fourier_freq_sin,noise,non_fourier_freq_cos,noise,sin_low_freq,noise,linear_periodic_med_freq,noise,cubic,noise,cubic_y_stretched,noise,parabola,noise,spike,noise,lopsided_l_shaped,noise,l_shaped,noise,sigmoid,noise,exp_base_10,noise,exp_base_2,noise,linear_periodic_high_freq_2,noise,linear_periodic_high_freq,noise,linear_periodic_low_freq,noise,line
0.9878783998834539,0.0249,0.887986094619176,0.0308,0.9272304970497882,0.0263,0.42298520197199285,0.0768,0.7701327546519543,0.0597,0.9598905181130406,0.048,0.5008193477276185,0.0868,0.9959454052178218,0.0319,0.999468746021824,0.0312,0.9894211489712315,0.0295,0.04088286783057182,0.8597,0.9272837243913592,0.0792,0.016064354827118765,0.872,0.9294419872743269,0.078,0.9464230282394211,0.0639,0.4710237823148984,0.2896,0.014556970868079278,1.6119,0.16604669849198872,0.8328,0.59500620566831,0.2786,0.9461530305182477,0.0524,0.9841525517762061,0.0355
0.7575914781340491,0.0309,0.9751226194702268,0.0237,0.9440038283658646,0.0243,0.7652257961144724,0.0513,0.2553755188993404,0.1095,0.9962241115451888,0.032,0.9868953595590024,0.0337,0.7159192596912594,0.0756,0.06609983379213502,0.7582,0.9905151047720893,0.0287,0.9872653859632605,0.0287,0.0010013899021188433,,0.9191118101831266,0.0662,0.9959287238419561,0.035,0.5947090297498865,0.2112,0.8415943680413206,0.1131,0.9994025017650542,0.0207,0.5918273515029548,0.2643,0.7976103459785366,0.1514,0.4122988269597563,0.4497,0.6399357377211425,0.205
0.509374575712788,0.0511,0.01190315347523152,0.1183,0.8634693344473077,0.04,0.9989643323507439,0.0243,0.9307310045414738,0.0325,0.9708431660278851,0.051,0.2555164971743503,0.1145,0.645055537737125,0.0707,0.9950451250759698,0.0209,0.9146336353753414,0.0729,0.7577280572451431,0.1761,0.905234516492327,0.0911,0.9857129347441492,0.0258,0.4892577572042295,0.3111,0.9283791861766937,0.0797,0.7053064558019609,0.1746,0.9445199317015509,0.073,0.011114501442116786,1.5433,0.9951487831655812,0.0503,0.41079516695620966,0.4132,0.001424036454330424,
0.28806610857375947,0.0598,0.9271622647778303,0.0424,0.9460263671026997,0.0402,0.03044579138577952,0.1554,0.6498906427111428,0.059,0.24379437270536752,0.1668,0.27875488870854015,0.1128,0.0016191160113528946,0.2339,0.024781840327120164,1.1406,0.6496481009001941,0.1936,0.9047363840530785,0.0833,0.8339496054650426,0.1203,0.9987656474651349,0.0264,0.6727894315490894,0.2197,0.8903013843456475,0.093,0.9447531291739527,0.071,0.9458024647994364,0.0493,0.4695187660733877,0.3034,0.9441052420277322,0.0713,0.7989221545261795,0.1431,0.9871787060199052,0.0446
0.6488979737683686,0.0389,0.42249572934167123,0.0339,0.01513988961084689,0.1016,0.9284865974289144,0.0432,0.7688325241804084,0.0521,0.9725707464417526,0.0336,0.12592533676566053,0.1399,0.7635845881255892,0.0547,0.8662303823060171,0.0981,0.9946268203783307,0.0414,0.796986279452843,0.157,0.7964971961593076,0.1541,0.9236917108254159,0.0729,0.9236007725925592,0.0618,0.9860714595032327,0.0348,0.4962629833889838,0.2953,0.6400216530522318,0.2149,0.9957787761633168,0.0285,0.9937588254928714,0.0251,0.012239928834321012,1.5111,0.997241594395136,0.0256
0.395034818901429,0.0446,0.9081016913340063,0.0362,0.11389386118133005,0.0858,0.36387768571182555,0.0888,0.9978688215742245,0.0205,0.9073121521630321,0.0503,0.8932546960911895,0.0648,0.9974442592763212,0.0273,0.2959012706527584,0.3563,0.644135557109089,0.1915,0.9988479290401818,0.031,0.8979960761400533,0.1002,0.04779975812930293,0.886,0.9257141816037502,0.0745,0.40476782098508435,0.3961,0.1395915033893842,0.7636,0.9622835136645489,0.064,0.8403776508700778,0.1255,0.003947813337329298,1.4796,0.8928295602066162,0.0989,0.9619817618955346,0.0818
0.9313917989583363,0.0424,0.9970752132985281,0.027,0.9926080474119345,0.0203,0.013040271352703359,0.1667,0.9615183708143648,0.044,0.9954884746180536,0.0266,0.3459023837765741,0.1027,0.9309047072553315,0.0237,0.990009738139932,0.0324,0.8948567667692938,0.0849,0.04072674101870377,0.881,0.8925555668146274,0.1165,0.4106398994718572,0.3491,0.0016145472264327276,2.747,0.059161931537045964,0.949,0.22122665271075648,0.5239,0.14367092877912113,0.7464,0.5792797029525012,0.2527,0.9223216405703522,0.0632,0.8404578009097821,0.1266,0.4976172683472959,0.3093
0.9483880378382797,0.0258,0.8859129113222753,0.0458,0.9950794336800831,0.0268,0.26554893196628737,0.1007,0.9291503019170165,0.0537,0.840628978660972,0.0689,0.7617767899947019,0.0707,0.9439679823195352,0.0394,0.7005520568966379,0.1467,0.5542790582547514,0.2224,0.9262122386965804,0.0794,0.9954140842030617,0.0312,0.9408160873197527,0.0458,0.6205646393324402,0.2749,0.8401299766725342,0.113,0.9742318461370718,0.0493,0.6510857340874892,0.2094,0.9865462741410597,0.0361,0.8744261073008128,0.1248,0.7651017767256104,0.1637,0.8964203865692424,0.094
0.14859929528106497,0.0804,0.28134397885021156,0.0651,0.9972242102731882,0.0279,0.9613575573177583,0.0293,0.04493035700639647,0.1281,0.8551299863636804,0.0617,-0.0017246354711890621,,0.9993744840235396,0.0392,0.9908919632394327,0.0285,0.7464583911497251,0.1518,0.380093202696249,0.319,0.9222604643149332,0.0746,0.0151339926950117,1.3446,0.1474497762946364,0.7823,0.4030482464579015,0.4294,0.9281985308552684,0.0839,0.8854424399725077,0.0942,0.9596025763580361,0.0583,0.012082043312383717,1.5288,0.4907693125212984,0.3083,0.9468683538929084,0.0468
0.87388224583127,0.0257,0.7796589092532823,0.0366,0.3842387571436129,0.0642,0.9925912258102386,0.0276,0.8405644430858672,0.0509,0.890242340561997,0.0623,0.8674662709644106,0.0778,0.5374466015986819,0.1045,0.03801385593052886,0.7855,0.5761460995848804,0.2529,0.482661332506501,0.2806,0.22875766825529664,0.4292,0.5822409942734237,0.2275,0.2394299786598314,0.496,0.917233658549578,0.0965,0.9404454017197676,0.0751,0.9914388165509884,0.0447,0.5829291389049507,0.2541,0.6524092971487305,0.2151,0.99573689182648,0.028,0.488673004705819,0.3155
0.014077120585604619,0.0877,0.25515440181344784,0.1028,0.9966158632653994,0.0296,0.975112951141375,0.0235,0.9633970602395143,0.0265,0.9267857500487299,0.0583,0.8927414050731945,0.0814,0.9966124210068027,0.0302,0.9994715736465607,0.0288,0.994122360438277,0.0228,0.9946347455661319,0.0221,0.26950757868543607,0.423,0.998694165004217,0.0296,0.9751674387816625,0.0471,0.9460186444171067,0.0661,0.998520774243518,0.0315,0.9444821110916226,0.0803,0.9603011672941492,0.0691,0.017955927024004947,1.5735,0.8415884092231354,0.1132,0.9887484994747214,0.0365
0.9958189916049753,0.0278,0.945574493019687,0.042,0.5928763079823971,0.0529,0.502283441606035,0.0758,0.003750039565138308,0.1649,-0.004451642457419913,0.2821,0.006525332531004513,0.2289,0.9928592881901572,0.0289,0.8881238736995283,0.0804,0.8935483047097199,0.1124,0.6616701209362724,0.2064,0.9244866756837887,0.0849,0.8596552514682086,0.0993,0.6420101330307342,0.211,0.15376450283561827,0.7573,0.0010145185138071833,,0.5053348344495422,0.312,0.7070596190007087,0.1817,0.9969062958105078,0.037,0.9085834898580101,0.0993,0.6083552539246339,0.2324
